schema_version,run_id,dataset_id,method_id,model,retriever_id,retriever,params_hash,method_params_json,llm_temperature,llm_max_tokens,metric,value,num_queries,total_time_seconds,querygym_version,run_file_path
1,2f7746328604d0bc,beir-v1.0.0-arguana,csqe,openai/gpt-4.1,bm25,BM25,21403c13,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9445,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1/bm25/21403c13.json
1,3e383ae339c3a62e,beir-v1.0.0-arguana,csqe,openai/gpt-4.1,splade-pp,SPLADE++,21403c13,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3801,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1/splade-pp/21403c13.json
1,3e383ae339c3a62e,beir-v1.0.0-arguana,csqe,openai/gpt-4.1,splade-pp,SPLADE++,21403c13,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9829,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1/splade-pp/21403c13.json
1,7ebe52879e43bf94,beir-v1.0.0-arguana,csqe,openai/gpt-4.1-nano,bge-base-en-v1.5,BGE-base-en-v1.5,2dad9662,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.621,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1-nano/bge-base-en-v1.5/2dad9662.json
1,7ebe52879e43bf94,beir-v1.0.0-arguana,csqe,openai/gpt-4.1-nano,bge-base-en-v1.5,BGE-base-en-v1.5,2dad9662,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9886,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1-nano/bge-base-en-v1.5/2dad9662.json
1,f32e376e0f39d46f,beir-v1.0.0-arguana,csqe,openai/gpt-4.1-nano,bm25,BM25,2dad9662,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3964,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1-nano/bm25/2dad9662.json
1,f32e376e0f39d46f,beir-v1.0.0-arguana,csqe,openai/gpt-4.1-nano,bm25,BM25,2dad9662,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9381,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1-nano/bm25/2dad9662.json
1,e0f4947fbccc6397,beir-v1.0.0-arguana,csqe,openai/gpt-4.1-nano,splade-pp,SPLADE++,2dad9662,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3792,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1-nano/splade-pp/2dad9662.json
1,e0f4947fbccc6397,beir-v1.0.0-arguana,csqe,openai/gpt-4.1-nano,splade-pp,SPLADE++,2dad9662,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9801,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1-nano/splade-pp/2dad9662.json
1,7f7b4bf0249b08b2,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-72B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,0e3196ec,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6248,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-72B-Instruct/bge-base-en-v1.5/0e3196ec.json
1,7f7b4bf0249b08b2,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-72B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,0e3196ec,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.99,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-72B-Instruct/bge-base-en-v1.5/0e3196ec.json
1,e8335322dca5be04,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-72B-Instruct,bm25,BM25,5c9a8fce,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.4188,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-72B-Instruct/bm25/5c9a8fce.json
1,148aa91670cef258,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-72B-Instruct,splade-pp,SPLADE++,0e3196ec,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.5201,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-72B-Instruct/splade-pp/0e3196ec.json
1,148aa91670cef258,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-72B-Instruct,splade-pp,SPLADE++,0e3196ec,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9815,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-72B-Instruct/splade-pp/0e3196ec.json
1,b24c9b804c181612,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-7B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,05656568,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6262,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-7B-Instruct/bge-base-en-v1.5/05656568.json
1,b24c9b804c181612,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-7B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,05656568,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9893,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-7B-Instruct/bge-base-en-v1.5/05656568.json
1,817c54fef880fca4,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-7B-Instruct,bm25,BM25,1a155820,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.4339,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-7B-Instruct/bm25/1a155820.json
1,817c54fef880fca4,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-7B-Instruct,bm25,BM25,1a155820,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9523,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-7B-Instruct/bm25/1a155820.json
1,5490e12acba323e4,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-7B-Instruct,splade-pp,SPLADE++,05656568,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.5211,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-7B-Instruct/splade-pp/05656568.json
1,5490e12acba323e4,beir-v1.0.0-arguana,genqr,Qwen/Qwen2.5-7B-Instruct,splade-pp,SPLADE++,05656568,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9851,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/Qwen/Qwen2.5-7B-Instruct/splade-pp/05656568.json
1,5f7a4230a86bafae,beir-v1.0.0-arguana,genqr,openai/gpt-4.1,bge-base-en-v1.5,BGE-base-en-v1.5,fd6cdfaf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6256,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1/bge-base-en-v1.5/fd6cdfaf.json
1,5f7a4230a86bafae,beir-v1.0.0-arguana,genqr,openai/gpt-4.1,bge-base-en-v1.5,BGE-base-en-v1.5,fd6cdfaf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9893,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1/bge-base-en-v1.5/fd6cdfaf.json
1,0a2206f04f384f1b,beir-v1.0.0-arguana,genqr,openai/gpt-4.1,bm25,BM25,fd6cdfaf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.406,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1/bm25/fd6cdfaf.json
1,0a2206f04f384f1b,beir-v1.0.0-arguana,genqr,openai/gpt-4.1,bm25,BM25,fd6cdfaf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9495,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1/bm25/fd6cdfaf.json
1,4302aab08a4f7188,beir-v1.0.0-arguana,genqr,openai/gpt-4.1,splade-pp,SPLADE++,fd6cdfaf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3755,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1/splade-pp/fd6cdfaf.json
1,4302aab08a4f7188,beir-v1.0.0-arguana,genqr,openai/gpt-4.1,splade-pp,SPLADE++,fd6cdfaf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9836,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1/splade-pp/fd6cdfaf.json
1,9fe927c7862613fc,beir-v1.0.0-arguana,genqr,openai/gpt-4.1-nano,bge-base-en-v1.5,BGE-base-en-v1.5,a1f3d2cf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6234,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1-nano/bge-base-en-v1.5/a1f3d2cf.json
1,9fe927c7862613fc,beir-v1.0.0-arguana,genqr,openai/gpt-4.1-nano,bge-base-en-v1.5,BGE-base-en-v1.5,a1f3d2cf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.99,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1-nano/bge-base-en-v1.5/a1f3d2cf.json
1,2c4406046b14c5ce,beir-v1.0.0-arguana,genqr,openai/gpt-4.1-nano,bm25,BM25,a1f3d2cf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.4013,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1-nano/bm25/a1f3d2cf.json
1,2c4406046b14c5ce,beir-v1.0.0-arguana,genqr,openai/gpt-4.1-nano,bm25,BM25,a1f3d2cf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9488,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1-nano/bm25/a1f3d2cf.json
1,abd5781879e192f3,beir-v1.0.0-arguana,genqr,openai/gpt-4.1-nano,splade-pp,SPLADE++,a1f3d2cf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3773,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1-nano/splade-pp/a1f3d2cf.json
1,abd5781879e192f3,beir-v1.0.0-arguana,genqr,openai/gpt-4.1-nano,splade-pp,SPLADE++,a1f3d2cf,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9829,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr/openai/gpt-4.1-nano/splade-pp/a1f3d2cf.json
1,9082596a6d0158ac,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-72B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,4d5215e6,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6254,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-72B-Instruct/bge-base-en-v1.5/4d5215e6.json
1,9082596a6d0158ac,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-72B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,4d5215e6,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9893,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-72B-Instruct/bge-base-en-v1.5/4d5215e6.json
1,73a94ecc826455b3,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-72B-Instruct,bm25,BM25,4d9adb2b,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.408,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-72B-Instruct/bm25/4d9adb2b.json
1,b5d7e1f37ccc765c,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-72B-Instruct,splade-pp,SPLADE++,4d5215e6,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.5193,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-72B-Instruct/splade-pp/4d5215e6.json
1,b5d7e1f37ccc765c,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-72B-Instruct,splade-pp,SPLADE++,4d5215e6,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9822,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-72B-Instruct/splade-pp/4d5215e6.json
1,c25391a0bb85fed7,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-7B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,78f7cae5,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6196,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-7B-Instruct/bge-base-en-v1.5/78f7cae5.json
1,c25391a0bb85fed7,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-7B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,78f7cae5,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.99,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-7B-Instruct/bge-base-en-v1.5/78f7cae5.json
1,e49dd54b6f58c3cd,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-7B-Instruct,bm25,BM25,09d22eb2,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.4187,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-7B-Instruct/bm25/09d22eb2.json
1,e49dd54b6f58c3cd,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-7B-Instruct,bm25,BM25,09d22eb2,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9566,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-7B-Instruct/bm25/09d22eb2.json
1,aa0a09c2d60fb379,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-7B-Instruct,splade-pp,SPLADE++,78f7cae5,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.518,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-7B-Instruct/splade-pp/78f7cae5.json
1,aa0a09c2d60fb379,beir-v1.0.0-arguana,genqr_ensemble,Qwen/Qwen2.5-7B-Instruct,splade-pp,SPLADE++,78f7cae5,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9815,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/Qwen/Qwen2.5-7B-Instruct/splade-pp/78f7cae5.json
1,59fb1da51680a6a4,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1,bge-base-en-v1.5,BGE-base-en-v1.5,9214a7e1,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6187,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1/bge-base-en-v1.5/9214a7e1.json
1,59fb1da51680a6a4,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1,bge-base-en-v1.5,BGE-base-en-v1.5,9214a7e1,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.99,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1/bge-base-en-v1.5/9214a7e1.json
1,3265894a06d11b4c,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1,bm25,BM25,9214a7e1,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.4073,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1/bm25/9214a7e1.json
1,3265894a06d11b4c,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1,bm25,BM25,9214a7e1,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9566,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1/bm25/9214a7e1.json
1,7a007f087dc3fe3a,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1,splade-pp,SPLADE++,9214a7e1,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3806,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1/splade-pp/9214a7e1.json
1,7a007f087dc3fe3a,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1,splade-pp,SPLADE++,9214a7e1,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9808,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1/splade-pp/9214a7e1.json
1,dc58b11f55647ff3,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1-nano,bge-base-en-v1.5,BGE-base-en-v1.5,0d366684,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6196,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1-nano/bge-base-en-v1.5/0d366684.json
1,dc58b11f55647ff3,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1-nano,bge-base-en-v1.5,BGE-base-en-v1.5,0d366684,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.99,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1-nano/bge-base-en-v1.5/0d366684.json
1,53c695c1305ea59f,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1-nano,bm25,BM25,0d366684,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3945,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1-nano/bm25/0d366684.json
1,53c695c1305ea59f,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1-nano,bm25,BM25,0d366684,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9474,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1-nano/bm25/0d366684.json
1,dc6d84f6cbc27959,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1-nano,splade-pp,SPLADE++,0d366684,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3818,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1-nano/splade-pp/0d366684.json
1,dc6d84f6cbc27959,beir-v1.0.0-arguana,genqr_ensemble,openai/gpt-4.1-nano,splade-pp,SPLADE++,0d366684,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9808,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/genqr_ensemble/openai/gpt-4.1-nano/splade-pp/0d366684.json
1,620c7abfb1ee020f,beir-v1.0.0-arguana,lamer,Qwen/Qwen2.5-72B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,cb05fbb9,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.621,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/lamer/Qwen/Qwen2.5-72B-Instruct/bge-base-en-v1.5/cb05fbb9.json
